,year,month,code,window_3_para,window_3_T,window_6_para,window_6_T,window_9_para,window_9_T,window_12_para,window_12_T,window_18_para,window_18_T,window_24_para,window_24_T,window_30_para,window_30_T,window_36_para,window_36_T,window_48_para,window_48_T,window_60_para,window_60_T
0,2005,2,1,,,,,,,,,,,,,,,,,,,,
1,2005,2,2,,,,,,,,,,,,,,,,,,,,
2,2005,2,3,,,,,,,,,,,,,,,,,,,,
3,2005,2,4,,,,,,,,,,,,,,,,,,,,
4,2005,2,5,,,,,,,,,,,,,,,,,,,,
5,2005,3,1,,,,,,,,,,,,,,,,,,,,
6,2005,3,2,,,,,,,,,,,,,,,,,,,,
7,2005,3,3,,,,,,,,,,,,,,,,,,,,
8,2005,3,4,,,,,,,,,,,,,,,,,,,,
9,2005,3,5,,,,,,,,,,,,,,,,,,,,
10,2005,4,1,0.7603048197380547,0.751424433853715,,,,,,,,,,,,,,,,,,
11,2005,4,2,1.2930445479376642,1.1827139912808067,,,,,,,,,,,,,,,,,,
12,2005,4,3,1.4421985951265863,1.3041502191179501,,,,,,,,,,,,,,,,,,
13,2005,4,4,1.614631483840289,1.6327637323757027,,,,,,,,,,,,,,,,,,
14,2005,4,5,1.7603048219747746,1.7397444110947466,,,,,,,,,,,,,,,,,,
15,2005,5,1,-0.3648473357597703,-1.01913348035642,,,,,,,,,,,,,,,,,,
16,2005,5,2,0.09876898366025316,0.2514642857162148,,,,,,,,,,,,,,,,,,
17,2005,5,3,0.2486481813875425,0.6196099337446804,,,,,,,,,,,,,,,,,,
18,2005,5,4,0.4533474621983623,1.3622217348261814,,,,,,,,,,,,,,,,,,
19,2005,5,5,0.635152667097502,1.7741813916964957,,,,,,,,,,,,,,,,,,
20,2005,6,1,-0.4343151492222455,-0.9974586970517546,,,,,,,,,,,,,,,,,,
21,2005,6,2,0.009756880101527698,0.04119294292283776,,,,,,,,,,,,,,,,,,
22,2005,6,3,0.16260609045034238,0.4864664823223524,,,,,,,,,,,,,,,,,,
23,2005,6,4,0.382410680394096,1.3413860296878215,,,,,,,,,,,,,,,,,,
24,2005,6,5,0.5656848546001036,1.2991655379843468,,,,,,,,,,,,,,,,,,
25,2005,7,1,-0.5318706401825526,-1.3715992739898688,-0.11397901337064534,-0.25936181897568855,,,,,,,,,,,,,,,,
26,2005,7,2,0.03192330525566661,0.1280001832674877,0.39722339721550737,0.8854226431624249,,,,,,,,,,,,,,,,
27,2005,7,3,0.18685256715442994,0.5363729682105012,0.5604056488052793,1.2297120098544114,,,,,,,,,,,,,,,,
28,2005,7,4,0.3338136676647733,1.2755628233165324,0.7192039493474645,1.6841830162789901,,,,,,,,,,,,,,,,
29,2005,7,5,0.4681293607108238,1.2072219083686493,0.8860209884624843,2.0161607716196466,,,,,,,,,,,,,,,,
30,2005,8,1,0.11565884100523884,5.855212237202464,0.05351127548164461,0.20076571320103415,,,,,,,,,,,,,,,,
31,2005,8,2,0.6640362096890985,6.622260413059473,0.5518174311243387,2.231738519423057,,,,,,,,,,,,,,,,
32,2005,8,3,0.8186075528772624,21.50610336318221,0.7123605141910039,2.7602467536596778,,,,,,,,,,,,,,,,
33,2005,8,4,0.9641881619670672,10.496921690431128,0.8748301213929446,3.6432115681436663,,,,,,,,,,,,,,,,
34,2005,8,5,1.1156588391456514,56.48007411866278,1.053511275247769,3.9526051519295824,,,,,,,,,,,,,,,,
35,2005,9,1,0.10180375867149437,0.5337326490679789,-0.02737851999424041,-0.12645825130216098,,,,,,,,,,,,,,,,
36,2005,9,2,0.6468733275174139,11.597528464035337,0.49408468879236445,2.4018178270778536,,,,,,,,,,,,,,,,
37,2005,9,3,0.8054202606173126,5.936242251895071,0.6393060057265146,3.058885101844654,,,,,,,,,,,,,,,,
38,2005,9,4,0.9397771698933457,4.693910452458689,0.8038450414917432,4.003532383418767,,,,,,,,,,,,,,,,
39,2005,9,5,1.1018037571443209,5.776492434492556,0.9726214801201173,4.492427344619441,,,,,,,,,,,,,,,,
40,2005,10,1,0.49845790469160495,35.89203407309499,0.01967285619278583,0.07343044112679298,0.10609466841673458,0.4305477797892785,,,,,,,,,,,,,,
41,2005,10,2,0.9075229548578024,7.3551002587572505,0.5665219897297847,2.3475494910906276,0.6238767559978016,2.529707149246464,,,,,,,,,,,,,,
42,2005,10,3,1.102496038373668,49.68615347248328,0.712380908660085,2.8864039710482694,0.7718640674231299,3.0903404234821306,,,,,,,,,,,,,,
43,2005,10,4,1.2866376102688373,30.099650487081938,0.864249058560651,3.609779172021752,0.925551765875384,3.892382487757987,,,,,,,,,,,,,,
44,2005,10,5,1.4984579019070472,107.89817538789325,1.019672854772637,3.80600696553287,1.1060946681692574,4.48869497251142,,,,,,,,,,,,,,
45,2005,11,1,0.5566775287894421,17.878350319526916,0.14333074185949976,0.8584385765254305,0.07241102917350745,0.36324599738998853,,,,,,,,,,,,,,
46,2005,11,2,0.9285431603808525,2.0283122670419345,0.6807170707118709,5.349626206128733,0.5743180286503687,3.0718037893911467,,,,,,,,,,,,,,
47,2005,11,3,1.0466445826236435,6.135761200066059,0.8307348175273734,6.315886250291433,0.7264713218444707,3.8104463303509424,,,,,,,,,,,,,,
48,2005,11,4,1.2417770200901843,12.05837477484169,0.9801983062893037,7.022545357775837,0.8889271012539299,4.990977948217886,,,,,,,,,,,,,,
49,2005,11,5,1.5566775246040416,49.99452981258391,1.14333073980469,6.847653198541345,1.072411028695316,5.3796917317490305,,,,,,,,,,,,,,
