year,month,code,return
2005,2,1,0.08537270601376495
2005,2,2,0.1061696821977455
2005,2,3,0.11162852807937573
2005,2,4,0.11146035541171948
2005,2,5,0.11227811293768833
2005,3,1,-0.08895791427645275
2005,3,2,-0.12153634197347377
2005,3,3,-0.12989876423411048
2005,3,4,-0.13163390320029644
2005,3,5,-0.14548208398534532
2005,4,1,-0.0008542201080860698
2005,4,2,-0.051426022291736206
2005,4,3,-0.0661274060922771
2005,4,4,-0.09189676949928594
2005,4,5,-0.11058293957794664
2005,5,1,-0.0890381810313082
2005,5,2,-0.05197083737169027
2005,5,3,-0.03820433605787944
2005,5,4,-0.021097453918479798
2005,5,5,-0.005992692792115026
2005,6,1,0.023894332229937604
2005,6,2,-0.012069069325668261
2005,6,3,0.00508005013253972
2005,6,4,-0.005511094220327252
2005,6,5,0.01942178060163647
2005,7,1,0.016891415010955424
2005,7,2,-0.05565559553692749
2005,7,3,-0.07066788072279839
2005,7,4,-0.08262959296947217
2005,7,5,-0.09207967090932881
2005,8,1,0.04795651620624304
2005,8,2,0.12320099397512597
2005,8,3,0.15308771402747912
2005,8,4,0.1791236851254395
2005,8,5,0.21409716784649868
2005,9,1,-0.011607028888449035
2005,9,2,0.02946422478468052
2005,9,3,0.020065688124141872
2005,9,4,0.013592744450121406
2005,9,5,0.030860787237427884
2005,10,1,-0.04803324773614137
2005,10,2,-0.05471681841583674
2005,10,3,-0.058949682330283575
2005,10,4,-0.06612260192313311
2005,10,5,-0.07357060059242593
2005,11,1,-0.005834199144793396
2005,11,2,-0.0026375439818984337
2005,11,3,0.012161428943382211
2005,11,4,0.029214689312794168
2005,11,5,0.042424541481502244
2005,12,1,0.06327950249982249
2005,12,2,0.04771950430328309
2005,12,3,0.02009918808986609
2005,12,4,0.0014095131386901855
2005,12,5,0.00029421504630727444
2006,1,1,0.08613403035778182
2006,1,2,0.13482602414087236
2006,1,3,0.09617120049397107
2006,1,4,0.07417344546905932
2006,1,5,0.051139500695824014
2006,2,1,0.03940012366299283
2006,2,2,0.010062949135535296
2006,2,3,0.01869046973234816
2006,2,4,0.03107690515691605
2006,2,5,0.04692619834916906
2006,3,1,0.024085525738655376
2006,3,2,0.03137688629961753
2006,3,3,0.003597234259717373
2006,3,4,-0.0016564525865774516
2006,3,5,-0.0010510695633762432
2006,4,1,0.11155306735465594
2006,4,2,0.11074382290619962
2006,4,3,0.08415568028133016
2006,4,4,0.075133771458985
2006,4,5,0.019162836151812655
2006,5,1,0.15674789428108216
2006,5,2,0.21867199940269877
2006,5,3,0.23492229222562266
2006,5,4,0.2949071040630906
2006,5,5,0.3190459405644824
