,estimator,T_value
2006-08-01,-0.01089958485120339,-inf
2006-09-01,-0.02795344168498279,-inf
2006-10-09,-0.007697088179940424,-inf
2006-11-01,-0.030202822969269915,-inf
2006-12-01,-0.12547393408524146,-inf
2007-01-04,-0.0650454677662769,-inf
2007-02-01,0.1739671674244002,inf
2007-03-01,0.17645170371339405,inf
2007-04-02,0.022970039101883184,inf
2007-05-08,-0.0827757918655083,-inf
2007-06-01,-0.1075130245939375,-inf
2007-07-02,-0.08583301896019559,-inf
2007-08-01,0.12147337949656618,inf
2007-09-03,-0.033082198607496796,-inf
2007-10-08,-0.04405223398125536,-inf
2007-11-01,-0.03478048702708901,-inf
2007-12-03,0.1438904758576242,inf
2008-01-02,0.024619465445667704,inf
2008-02-01,-0.02775243236208434,-inf
2008-03-03,0.008493728500845132,inf
2008-04-01,-0.03883947444986597,-inf
2008-05-05,-0.15733775761011928,-inf
2008-06-02,0.06528505229995477,inf
2008-07-01,-0.007041035489443451,-inf
2008-08-01,0.07694533582476415,inf
2008-09-01,-0.0684951317853029,-inf
2008-10-06,-0.05517310495124708,-inf
2008-11-03,0.05598678960618656,inf
2008-12-01,0.1093753629411549,inf
2009-01-05,0.046660873381129335,inf
2009-02-02,-0.058902556647723786,-inf
2009-03-02,-0.029137995167031045,-inf
2009-04-01,0.02306461533699945,inf
2009-05-04,-0.003674676899926605,-inf
2009-06-01,-0.012779564080919778,-inf
2009-07-01,-0.06937784509323411,-inf
2009-08-03,-0.023880389334407226,-inf
2009-09-01,0.093301915177933,inf
2009-10-09,-0.014023857978220396,-inf
2009-11-02,-0.0025421551727197855,-inf
2009-12-01,0.06041187132598444,inf
2010-01-04,-0.03894242542309216,-inf
2010-02-01,0.012299484381847248,inf
2010-03-01,0.009001772354927884,inf
2010-04-01,0.00253551889773569,inf
2010-05-04,-0.052584712588188656,-inf
2010-06-01,-0.011484914912533294,-inf
2010-07-01,0.0008979947078555622,inf
2010-08-02,0.01816108104848589,inf
2010-09-01,0.0667413972115937,inf
2010-10-08,-0.06308291408501714,-inf
2010-11-01,-0.0661627244299577,-inf
2010-12-01,0.11644974314209877,inf
2011-01-04,-0.02682177933952291,-inf
2011-02-01,-0.0683465637025008,-inf
2011-03-01,0.04995684127238186,inf
2011-04-01,-0.017962429951642437,-inf
2011-05-03,-0.05689359001431167,-inf
2011-06-01,0.013914543814161018,inf
2011-07-01,0.036004879861870016,inf
2011-08-01,0.05254991397569479,inf
2011-09-01,0.010654579920418709,inf
2011-10-10,-0.0627864659837559,-inf
2011-11-01,0.022175961805309244,inf
2011-12-01,0.033952942799613944,inf
2012-01-04,-0.10424030311065553,-inf
2012-02-01,-0.04809734907795007,-inf
2012-03-01,0.12301633178354868,inf
2012-04-05,-0.018203484669093037,-inf
2012-05-02,-0.056165855831683924,-inf
2012-06-01,0.03704782566496332,inf
2012-07-02,0.011382873061492244,inf
2012-08-01,-0.07403781480805043,-inf
2012-09-03,0.08535987145101183,inf
2012-10-08,-0.02649572833371768,-inf
2012-11-01,-0.006536812798074443,-inf
2012-12-03,-0.047055693872458254,-inf
2013-01-04,0.07184945848930575,inf
2013-02-01,0.011303294647497868,inf
2013-03-01,0.013876773776278696,inf
2013-04-01,-0.01901298535802304,-inf
2013-05-02,-0.036320222820330234,-inf
2013-06-03,0.10225015975159739,inf
2013-07-01,-0.034167489896420905,-inf
2013-08-01,0.05080369316295007,inf
2013-09-02,0.0007974563076006353,inf
2013-10-08,-0.01928501282102195,-inf
2013-11-01,-0.02082298551100649,-inf
2013-12-02,0.07366766893779265,inf
2014-01-02,-0.022303334171280824,-inf
2014-02-07,0.02614478065747943,inf
2014-03-03,0.009362492464619326,inf
2014-04-01,-0.05192884122734896,-inf
2014-05-05,-0.011722225405519022,-inf
2014-06-03,0.032408573590623775,inf
2014-07-01,0.03142165118423082,inf
2014-08-01,-0.053495082652625474,-inf
2014-09-01,0.037133924049394654,inf
2014-10-08,0.059515299601181515,inf
2014-11-03,-0.06163258412546178,-inf
2014-12-01,-0.07110638560007958,-inf
2015-01-05,-0.3232962331374608,-inf
2015-02-02,0.16524642098138095,inf
2015-03-02,0.07476250644558173,inf
2015-04-01,0.05909055569620037,inf
2015-05-04,-0.04286826551428875,-inf
2015-06-01,0.32377137637278786,inf
2015-07-01,-0.17772816265079497,-inf
2015-08-03,-0.0020207070874723263,-inf
2015-09-01,0.0008919479571802128,inf
2015-10-08,0.04056261923908602,inf
2015-11-02,0.10519585262471148,inf
2015-12-01,0.09935735923076418,inf
2016-01-04,-0.0644073063726699,-inf
2016-02-01,-0.06436617659885395,-inf
2016-03-01,0.005291324244740704,inf
2016-04-01,0.12665710454589157,inf
2016-05-03,-0.00636706655171052,-inf
2016-06-01,-0.04144754174942375,-inf
2016-07-01,0.052087399531841196,inf
2016-08-01,-0.05792799635392417,-inf
2016-09-01,0.00655446368917842,inf
2016-10-10,0.012258974989005765,inf
2016-11-01,0.006262537468342565,inf
2016-12-01,-0.019555180910869798,-inf
2017-01-03,-0.03672195438642102,-inf
2017-02-03,-0.055485278314888885,-inf
2017-03-01,0.06335109631237472,inf
2017-04-05,-0.007853924889093328,-inf
2017-05-02,-0.09772056934521581,-inf
2017-06-01,-0.0397008359419406,-inf
2017-07-03,0.03253773282858243,inf
2017-08-01,-0.043392109831898173,-inf
2017-09-01,0.06438819355865538,inf
2017-10-09,0.017695088747409427,inf
2017-11-01,-0.05046210552450531,-inf
2017-12-01,-0.054318172071131696,-inf
2018-01-02,0.014967822928371823,inf
2018-02-01,-0.04707935321342939,-inf
2018-03-01,0.031235985176812326,inf
2018-04-02,0.16373160400760436,inf
2018-05-02,-0.027211160011877712,-inf
2018-06-01,-0.03989569366875254,-inf
2018-07-02,-0.022740077083229712,-inf
2018-08-01,-0.014627733121621639,-inf
2018-09-03,-0.019654036260138112,-inf
2018-10-08,-0.0023066053849322555,-inf
2018-11-01,0.05153133395454086,inf
2018-12-03,0.06477139877162819,inf
2019-01-02,-0.011326152747537479,-inf
2019-02-01,-0.09038045281212835,-inf
2019-03-01,0.11357328966367283,inf
2019-04-01,0.039082797940928005,inf
2019-05-06,-0.07730369909706117,-inf
2019-06-03,0.036617976269762514,inf
2019-07-01,-0.021070178477419703,-inf
2019-08-01,-0.011786861641356474,-inf
2019-09-02,0.018041242500116763,inf
2019-10-08,0.021911044838994472,inf
2019-11-01,-0.03019944396061056,-inf
2019-12-02,-0.013430120799538176,-inf
2020-01-02,0.043120470532117844,inf
2020-02-03,0.02573155550838364,inf
2020-03-02,-0.016921820409647237,-inf
2020-04-01,0.02313093749991416,inf
2020-05-06,-0.04483818971086471,-inf
2020-06-01,0.03261580663166022,inf
