,estimator,T_value
2006-01-04,-0.04964998345779704,-inf
2006-02-06,-0.04781786386235709,-inf
2006-03-01,0.04067325809053624,inf
2006-04-03,-0.013524925403549312,-inf
2006-05-08,-0.08327256145396142,-inf
2006-06-01,0.14213267339345384,inf
2006-07-03,-0.006332286178888799,-inf
2006-08-01,-0.01066039152617482,-inf
2006-09-01,-0.027904559766301813,-inf
2006-10-09,-0.007499151978330386,-inf
2006-11-01,-0.030224018682174284,-inf
2006-12-01,-0.12466276816892628,-inf
2007-01-04,-0.0661172098253926,-inf
2007-02-01,0.17281836334834738,inf
2007-03-01,0.1774893215528444,inf
2007-04-02,0.023039898452666744,inf
2007-05-08,-0.08295992289658104,-inf
2007-06-01,-0.10716471480695801,-inf
2007-07-02,-0.08567100006821982,-inf
2007-08-01,0.12173353311081996,inf
2007-09-03,-0.03151060378186395,-inf
2007-10-08,-0.043569906156929586,-inf
2007-11-01,-0.03454389298065505,-inf
2007-12-03,0.14421425448888364,inf
2008-01-02,0.025725608448745708,inf
2008-02-01,-0.027494317455764413,-inf
2008-03-03,0.008565262198834321,inf
2008-04-01,-0.03882539821343581,-inf
2008-05-05,-0.15681321588138383,-inf
2008-06-02,0.06505165351906138,inf
2008-07-01,-0.007473018420971677,-inf
2008-08-01,0.07592333728956395,inf
2008-09-01,-0.06784221952730049,-inf
2008-10-06,-0.05539201028090586,-inf
2008-11-03,0.05583201009836346,inf
2008-12-01,0.10922437335386424,inf
2009-01-05,0.0472603759928094,inf
2009-02-02,-0.058902556647723786,-inf
2009-03-02,-0.029188461932978173,-inf
2009-04-01,0.023065247258172664,inf
2009-05-04,-0.0036747468317602306,-inf
2009-06-01,-0.012789927651428454,-inf
2009-07-01,-0.06937373422455068,-inf
2009-08-03,-0.023965843118942277,-inf
2009-09-01,0.09330177612270014,inf
2009-10-09,-0.013935584859114258,-inf
2009-11-02,-0.002542282234996619,-inf
2009-12-01,0.06039890765762691,inf
2010-01-04,-0.03889737383782408,-inf
2010-02-01,0.011758111205132015,inf
2010-03-01,0.008763277402621634,inf
2010-04-01,0.002645459074905134,inf
2010-05-04,-0.05214890398614369,-inf
