,estimator,T_value
2005-03-01,-0.0014758007499683125,
2005-04-01,0.026388269612331344,
2005-05-09,0.053223895801200835,
2005-06-01,-0.025392336365957984,
2005-07-01,0.010065838523148496,
2005-08-01,0.039407411256737905,
2005-09-01,-0.032587282654239325,
2005-10-10,0.0009666205153393962,
2005-11-01,0.01239250507048245,
2005-12-01,-0.014719321081058152,
2006-01-04,0.03045250826710117,
2006-02-06,0.030022433563475136,
2006-03-01,0.0031171749528221128,
2006-04-03,0.026221664166431475,
2006-05-08,0.05878755268363621,
2006-06-01,-0.020573025442557555,
2006-07-03,-0.010289164726765897,
2006-08-01,-0.008616719342321973,
2006-09-01,0.008291904999521482,
2006-10-09,0.001837572695090095,
2006-11-01,0.02319587052327868,
2006-12-01,0.06467477403756991,
2007-01-04,0.055910748074068976,
2007-02-01,-0.000836462403208752,
2007-03-01,-0.03221953830503268,
2007-04-02,-0.03655983265358623,
2007-05-08,0.01657291318412875,
2007-06-01,0.03907758039573428,
2007-07-02,0.08469967502419451,
2007-08-01,-0.023053001135775488,
2007-09-03,0.03476515918971223,
2007-10-08,0.03445927302679317,
2007-11-01,0.04712439198262726,
2007-12-03,-0.0428719432964884,
2008-01-02,-0.007574181350073589,
2008-02-01,-0.008573759438078109,
2008-03-03,-0.02534484795845177,
2008-04-01,-0.005792514612763997,
2008-05-05,0.059889739750076054,
2008-06-02,-0.014709462380585406,
2008-07-01,0.019065237401744144,
2008-08-01,-0.02766997600484101,
2008-09-01,0.018821613515051315,
2008-10-06,0.0297394036436381,
2008-11-03,0.005827189805908679,
2008-12-01,-0.02167855020662173,
2009-01-05,-0.01903174160752244,
2009-02-02,-0.0008313366415564011,
2009-03-02,0.00040431673618069545,
2009-04-01,-0.00809482438913154,
2009-05-04,-0.0006680805633172293,
2009-06-01,-0.006475419080268418,
2009-07-01,0.025236477432715017,
2009-08-03,0.03440394875098988,
2009-09-01,-0.01587371016761554,
2009-10-09,0.009652303732675427,
2009-11-02,-0.00705658537254478,
2009-12-01,-0.01708076195838268,
2010-01-04,-0.0065156569759951,
2010-02-01,-0.012655611285778492,
2010-03-01,-0.0142870582386029,
2010-04-01,-0.014544286226821076,
2010-05-04,0.013434278486148336,
2010-06-01,0.00831149421626178,
2010-07-01,0.006952465122861329,
2010-08-02,-0.005057043029408235,
2010-09-01,-0.012402627276009156,
2010-10-08,-4.1419911120735287e-19,
2010-11-01,0.03382322181528153,
2010-12-01,-0.01424270181736719,
2011-01-04,0.013792639297546663,
2011-02-01,0.017736299446227323,
2011-03-01,-0.007593632245168434,
2011-04-01,0.0005959100606288885,
2011-05-03,0.017111101817274918,
2011-06-01,0.004882393737328393,
2011-07-01,0.004661514306766694,
2011-08-01,-0.006433514495258312,
2011-09-01,-0.00973658898475449,
2011-10-10,0.01247155022732228,
2011-11-01,0.001193503577174806,
2011-12-01,-0.0043521156840342825,
2012-01-04,0.03536320321644233,
2012-02-01,0.02381974886022852,
2012-03-01,-0.017984874822602307,
2012-04-05,0.008291611988354352,
2012-05-02,0.009050347038796366,
2012-06-01,0.003124053287488459,
2012-07-02,0.0020164674690466475,
2012-08-01,0.02644214820993216,
2012-09-03,-0.0281994097353925,
2012-10-08,0.01409959082298351,
2012-11-01,-0.0006834163761032168,
2012-12-03,0.019902831546213768,
2013-01-04,0.006684634969409128,
2013-02-01,0.006252022918627303,
2013-03-01,-0.007195666082689641,
2013-04-01,0.0025316691328884223,
2013-05-02,0.012805064770962979,
2013-06-03,-0.01323057588895679,
2013-07-01,0.013036286256851373,
2013-08-01,-0.008704858368504487,
2013-09-02,0.002813769321727588,
2013-10-08,0.012781185057670123,
2013-11-01,0.005170442252685269,
2013-12-02,-0.017350904514242538,
2014-01-02,0.0037635657570653925,
2014-02-07,-0.001341504086418948,
2014-03-03,-0.010810242960205918,
2014-04-01,0.0009921211069495767,
